"RS","NAME","INSGESAMT","INSG_M","INSG_W","AUSL_INSG","AUSL_M","AUSL_W","IIU6","IMU6","IWU6","DIU6","DMU6","DWU6","AIU6","AMU6","AWU6","II6BU15","IM6BU15","IW6BU15","DI6BU15","DM6BU15","DW6BU15","AI6BU15","AM6BU15","AW6BU15","II15BU65","IM15BU65","IW15BU65","DI15BU65","DM15BU65","DW15BU65","AI15BU65","AM15BU65","AW15BU65","II65UM","IM65UM","IW65UM","DI65UM","DM65UM","DW65UM","AI65UM","AM65UM","AW65UM","ANT_AI","ANT_AM","ANT_AW","ANT_AIU6","ANT_AMU6","ANT_AWU6","ANT_AI6BU15","ANT_AM6BU15","ANT_AW6BU15","ANT_AI15BU65","ANT_AM15BU65","ANT_AW15BU65","ANT_AI65UM","ANT_AM65UM","ANT_AW65UM","SOZ_INS","SOZ_AUS","BESCHQ_INS","BESCHQ_AUS","ARBLOS_INSG","ARBLOS_AUSL","BESCH_AUS_ABSOLUT","ARBSUCH_INSG_ABSOLUT","ARBSUCH_FLUMI_ABSOLUT","ALQ_AUSL","ANT_ARBS_FLUMI","ANT_SOZ_AUS","kurs_begon","kurs_beend","kurs_tnber","kurs_tln","AZR_INSG","AZR_GASTARB","AZR_EU28_AUSL","AZR_OST2004","AZR_NICHTEU_AUSL","AZR_SYRIEN","AZR_AFGHANISTAN","AZR_IRAK","AZR_EUNIEDERL","AZR_UNBEFR","AZR_BEFR","AZR_ERWERB","AZR_BLUE_C","AZR_GESTATT","AZR_DULD","AZR_U6","AZR_6BU15","AZR_15BU65","AZR_65UM","AZR_ADU2","AZR_AD2BU10","AZR_AD10BU25","AZR_AD25UM","AZR_ANT_GASTARB","AZR_ANT_EU28_AUSL","AZR_ANT_OST2004","AZR_ANT_NICHTEU_AUSL","AZR_ANT_SYRIEN","AZR_ANT_AFGHANISTAN","AZR_ANT_IRAK","AZR_ANT_EUNIEDERL","AZR_ANT_UNBEFR","AZR_ANT_BEFR","AZR_ANT_ERWERB","AZR_ANT_BLUE_C","AZR_ANT_GESTATT","AZR_ANT_DULD","AZR_ANT_U6","AZR_ANT_6BU15","AZR_ANT_15BU65","AZR_ANT_65UM","AZR_ANT_ADU2","AZR_ANT_AD2BU10","AZR_ANT_AD10BU25","AZR_ANT_AD25UM","N_Sch_I_Lag","N_Sch_O","N_Sch_J","N_Sch_N","N_Sch_SY","N_Sch_AF","N_Sch_IQ","N_Sch_RU","N_Sch_IR","N_Sch_XK","A2_Sch_i","A_Sch_O","A_Sch_J","A_Sch_N","A_Sch_SY","A_Sch_AF","A_Sch_IQ","A_Sch_RU","A_Sch_IR","A_Sch_XK","Sch_I_lag"
08116,"Esslingen",535024,267334,267690,94300,51685,42615,30879,15851,15028,26984,13839,13145,3895,2012,1883,43928,22554,21374,38949,19998,18951,4979,2556,2423,350325,180451,169874,275781,138638,137143,74544,41813,32731,109892,48478,61414,99010,43174,55836,10882,5304,5578,17.6,19.3,15.9,12.6,12.7,12.5,11.3,11.3,11.3,21.3,23.2,19.3,9.9,10.9,9.1,227603,42634,65,57.9,9810,4068,48685,19450,2417,7.6,12.4,18.7,132,118,2714,2156,97925,57265,48055,22950,49870,4060,1235,1145,49660,25015,15575,2295,750,1610,2310,3670,4980,77345,11930,8810,35495,16765,36850,58.5,49.1,23.4,50.9,4.1,1.3,1.2,50.7,25.5,15.9,2.3,0.8,1.6,2.4,3.7,5.1,79,12.2,9,36.2,17.1,37.6,10380,2410,6585,1840,2665,1050,920,210,375,575,2,22.2,60.8,17,24.6,9.7,8.5,1.9,3.5,5.3,4.4
08117,"Göppingen",258145,128649,129496,43862,23483,20379,15051,7673,7378,12629,6455,6174,2422,1218,1204,21268,10789,10479,18408,9345,9063,2860,1444,1416,165824,85308,80516,132139,66919,65220,33685,18389,15296,56002,24879,31123,51107,22447,28660,4895,2432,2463,17,18.3,15.7,16.1,15.9,16.3,13.4,13.4,13.5,20.3,21.6,19,8.7,9.8,7.9,104357,18151,62.9,55.6,5296,1990,20736,10100,1138,8.6,11.3,17.4,43,36,1176,880,46390,27915,22025,12455,24365,2385,600,680,22720,12435,8535,1080,125,740,795,2420,3100,35535,5335,4880,17460,7105,16950,60.2,47.5,26.8,52.5,5.1,1.3,1.5,49,26.8,18.4,2.3,0.3,1.6,1.7,5.2,6.7,76.6,11.5,10.5,37.6,15.3,36.5,5035,880,3780,675,1820,535,565,100,150,190,2.1,16.5,70.9,12.7,34.1,10,10.6,1.9,2.8,3.6,5.9
08118,"Ludwigsburg",545423,270799,274624,98984,52590,46394,33851,17431,16420,29318,15019,14299,4533,2412,2121,46307,23627,22680,40297,20514,19783,6010,3113,2897,356590,181981,174609,279084,140265,138819,77506,41716,35790,108675,47760,60915,97740,42411,55329,10935,5349,5586,18.1,19.4,16.9,13.4,13.8,12.9,13,13.2,12.8,21.7,22.9,20.5,10.1,11.2,9.2,233587,45994,65.5,60.3,8816,3533,51933,16243,2014,16.6,12.4,19.7,107,91,2714,1959,103360,62435,52420,23470,50940,3860,1545,1270,54100,26750,15705,2365,1065,1545,1815,4310,5795,81145,12115,8295,35500,18325,41240,60.4,50.7,22.7,49.3,3.7,1.5,1.2,52.3,25.9,15.2,2.3,1,1.5,1.8,4.2,5.6,78.5,11.7,8,34.3,17.7,39.9,10030,2140,6930,1390,3055,1370,1025,150,345,425,1.9,20.5,66.3,13.3,29.2,13.1,9.8,1.4,3.3,4.1,4.3
08119,"Rems-Murr-Kreis",427248,211395,215853,69112,36224,32888,25053,12870,12183,21662,11123,10539,3391,1747,1644,35448,18180,17268,31339,16047,15292,4109,2133,1976,276184,140334,135850,222557,111974,110583,53627,28360,25267,90563,40011,50552,82578,36027,46551,7985,3984,4001,16.2,17.1,15.2,13.5,13.6,13.5,11.6,11.7,11.4,19.4,20.2,18.6,8.8,10,7.9,178500,31312,64.5,59.1,7944,3202,36019,15638,1836,23.1,11.7,17.5,96,80,2287,1648,73450,45000,38470,15835,34975,3670,1020,1005,39730,16790,12375,1595,295,1115,1420,3415,4345,56755,8935,5945,26010,11830,29665,61.3,52.4,21.6,47.6,5,1.4,1.4,54.1,22.9,16.8,2.2,0.4,1.5,1.9,4.6,5.9,77.3,12.2,8.1,35.4,16.1,40.4,8060,1475,6025,1125,2720,890,835,110,230,525,2,17.1,69.9,13,31.5,10.3,9.7,1.3,2.7,6.1,7
08121,"Heilbronn, Stadt",126592,63802,62790,33062,18003,15059,7812,4031,3781,6216,3192,3024,1596,839,757,10700,5491,5209,8606,4411,4195,2094,1080,1014,83526,43902,39624,57056,29275,27781,26470,14627,11843,24554,10378,14176,21652,8921,12731,2902,1457,1445,26.1,28.2,24,20.4,20.8,20,19.6,19.7,19.5,31.7,33.3,29.9,11.8,14,10.2,53922,15222,64.9,58.8,3472,1573,17281,7093,801,8.2,11.3,28.2,98,93,942,864,35750,19005,14560,9495,21190,1895,235,875,15105,11320,7070,1115,365,340,460,1585,2230,28520,3415,3585,14065,6370,11730,53.2,40.7,26.6,59.3,5.3,0.7,2.4,42.3,31.7,19.8,3.1,1,1,1.3,4.4,6.2,79.8,9.6,10,39.3,17.8,32.8,3735,460,3205,335,1340,180,665,95,165,225,3.2,11.5,80.1,8.4,33.5,4.5,16.6,2.4,4.1,5.6,7.1
08125,"Heilbronn",344456,172994,171462,50849,27370,23479,21105,10962,10143,18423,9536,8887,2682,1426,1256,29055,14876,14179,25657,13125,12532,3398,1751,1647,227312,117031,110281,186723,94847,91876,40589,22184,18405,66984,30125,36859,62804,28116,34688,4180,2009,2171,14.8,15.8,13.7,12.7,13,12.4,11.7,11.8,11.6,17.9,19,16.7,6.2,6.7,5.9,151525,23884,66.5,59.8,5865,1989,27204,11391,1234,6.8,10.8,15.8,22,21,1782,1397,55470,26175,26915,19270,28560,2820,675,720,27610,16085,8120,965,195,790,1025,2810,3720,44150,4790,6140,23225,8795,17315,47.2,48.5,34.7,51.5,5.1,1.2,1.3,49.8,29,14.6,1.7,0.4,1.4,1.8,5.1,6.7,79.6,8.6,11.1,41.9,15.9,31.2,5515,1015,3900,800,1845,570,540,75,235,360,1.7,17.8,68.3,14,32.3,10,9.5,1.3,4.1,6.3,3.5
08126,"Hohenlohekreis",112655,56872,55783,12945,7163,5782,6647,3348,3299,5913,2945,2968,734,403,331,9405,4890,4515,8492,4412,4080,913,478,435,74404,38639,35765,64067,32793,31274,10337,5846,4491,22199,9995,12204,21238,9559,11679,961,436,525,11.5,12.6,10.4,11,12,10,9.7,9.8,9.6,13.9,15.1,12.6,4.3,4.4,4.3,51163,6737,68.9,67.8,1578,395,7401,2900,281,5,9.7,13.2,18,24,456,339,13445,5050,8005,5915,5435,840,205,85,8220,2505,1980,225,25,210,305,765,960,10685,1035,1520,6670,2085,3170,37.6,59.5,44,40.4,6.2,1.5,0.6,61.1,18.6,14.7,1.7,0.2,1.6,2.3,5.7,7.1,79.5,7.7,11.3,49.6,15.5,23.6,1540,305,1095,245,700,170,95,5,45,35,1.5,18.5,66.6,14.9,42.6,10.3,5.8,0.3,2.7,2.1,6.8
08127,"Schwäbisch Hall",196761,98720,98041,23335,12753,10582,12101,6200,5901,10368,5335,5033,1733,865,868,16839,8545,8294,14943,7537,7406,1896,1008,888,129373,66865,62508,110983,56630,54353,18390,10235,8155,38448,17110,21338,37132,16465,20667,1316,645,671,11.9,12.9,10.8,14.3,14,14.7,11.3,11.8,10.7,14.2,15.3,13,3.4,3.8,3.1,85775,11326,66.2,64,3081,798,12572,5714,507,5.9,8.9,13.2,29,32,722,565,25330,7675,13895,11230,11435,1195,535,435,14275,4475,3965,535,110,540,730,1840,2045,19885,1560,4005,13000,3850,4475,30.3,54.9,44.3,45.1,4.7,2.1,1.7,56.4,17.7,15.7,2.1,0.4,2.1,2.9,7.3,8.1,78.5,6.2,15.8,51.3,15.2,17.7,3095,710,1830,615,830,375,350,75,50,95,1.6,22.5,58,19.5,26.3,11.9,11.1,2.4,1.6,3,1.9
08128,"Main-Tauber-Kreis",132399,65992,66407,12866,6903,5963,7255,3763,3492,6336,3289,3047,919,474,445,10443,5323,5120,9370,4759,4611,1073,564,509,84474,43300,41174,74418,37801,36617,10056,5499,4557,30227,13606,16621,29409,13240,16169,818,366,452,9.7,10.5,9,12.7,12.6,12.7,10.3,10.6,9.9,11.9,12.7,11.1,2.7,2.7,2.7,56024,6071,66,62.4,2067,600,6696,4284,431,5.2,10.1,10.8,23,28,468,383,13585,4350,6950,5580,6635,1125,260,215,7140,2745,2815,250,45,310,265,950,1120,10595,925,2010,7125,1870,2585,32,51.2,41.1,48.8,8.3,1.9,1.6,52.6,20.2,20.7,1.8,0.3,2.3,2,7,8.2,78,6.8,14.8,52.4,13.8,19,2075,320,1640,205,830,250,170,35,70,70,1.6,14.8,75.8,9.5,38.3,11.5,7.9,1.6,3.2,3.2,4.3
08135,"Heidenheim",132777,66089,66688,21046,11306,9740,7588,3766,3822,6246,3070,3176,1342,696,646,11197,5760,5437,9356,4833,4523,1841,927,914,84851,43763,41088,68891,35022,33869,15960,8741,7219,29141,12800,16341,27238,11858,15380,1903,942,961,15.9,17.1,14.6,17.7,18.5,16.9,16.4,16.1,16.8,18.8,20,17.6,6.5,7.4,5.9,55006,9318,64.7,60.2,2884,911,10418,5958,682,7.9,11.4,16.9,35,30,741,620,22100,10120,11900,8360,10200,1630,150,320,12325,4725,3715,395,130,335,400,1270,1845,16925,2055,2270,10675,3045,6110,45.8,53.8,37.8,46.2,7.4,0.7,1.4,55.8,21.4,16.8,1.8,0.6,1.5,1.8,5.7,8.3,76.6,9.3,10.3,48.3,13.8,27.6,2570,455,1935,290,1240,135,290,35,45,85,2,17,72.2,10.8,46.3,5,10.8,1.3,1.7,3.2,4.3
