"RS","NAME","INSGESAMT","INSG_M","INSG_W","AUSL_INSG","AUSL_M","AUSL_W","IIU6","IMU6","IWU6","DIU6","DMU6","DWU6","AIU6","AMU6","AWU6","II6BU15","IM6BU15","IW6BU15","DI6BU15","DM6BU15","DW6BU15","AI6BU15","AM6BU15","AW6BU15","II15BU65","IM15BU65","IW15BU65","DI15BU65","DM15BU65","DW15BU65","AI15BU65","AM15BU65","AW15BU65","II65UM","IM65UM","IW65UM","DI65UM","DM65UM","DW65UM","AI65UM","AM65UM","AW65UM","ANT_AI","ANT_AM","ANT_AW","ANT_AIU6","ANT_AMU6","ANT_AWU6","ANT_AI6BU15","ANT_AM6BU15","ANT_AW6BU15","ANT_AI15BU65","ANT_AM15BU65","ANT_AW15BU65","ANT_AI65UM","ANT_AM65UM","ANT_AW65UM","SOZ_INS","SOZ_AUS","BESCHQ_INS","BESCHQ_AUS","ARBLOS_INSG","ARBLOS_AUSL","BESCH_AUS_ABSOLUT","ARBSUCH_INSG_ABSOLUT","ARBSUCH_FLUMI_ABSOLUT","ALQ_AUSL","ANT_ARBS_FLUMI","ANT_SOZ_AUS","kurs_begon","kurs_beend","kurs_tnber","kurs_tln","AZR_INSG","AZR_GASTARB","AZR_EU28_AUSL","AZR_OST2004","AZR_NICHTEU_AUSL","AZR_SYRIEN","AZR_AFGHANISTAN","AZR_IRAK","AZR_EUNIEDERL","AZR_UNBEFR","AZR_BEFR","AZR_ERWERB","AZR_BLUE_C","AZR_GESTATT","AZR_DULD","AZR_U6","AZR_6BU15","AZR_15BU65","AZR_65UM","AZR_ADU2","AZR_AD2BU10","AZR_AD10BU25","AZR_AD25UM","AZR_ANT_GASTARB","AZR_ANT_EU28_AUSL","AZR_ANT_OST2004","AZR_ANT_NICHTEU_AUSL","AZR_ANT_SYRIEN","AZR_ANT_AFGHANISTAN","AZR_ANT_IRAK","AZR_ANT_EUNIEDERL","AZR_ANT_UNBEFR","AZR_ANT_BEFR","AZR_ANT_ERWERB","AZR_ANT_BLUE_C","AZR_ANT_GESTATT","AZR_ANT_DULD","AZR_ANT_U6","AZR_ANT_6BU15","AZR_ANT_15BU65","AZR_ANT_65UM","AZR_ANT_ADU2","AZR_ANT_AD2BU10","AZR_ANT_AD10BU25","AZR_ANT_AD25UM","N_Sch_I_Lag","N_Sch_O","N_Sch_J","N_Sch_N","N_Sch_SY","N_Sch_AF","N_Sch_IQ","N_Sch_RU","N_Sch_IR","N_Sch_XK","A2_Sch_i","A_Sch_O","A_Sch_J","A_Sch_N","A_Sch_SY","A_Sch_AF","A_Sch_IQ","A_Sch_RU","A_Sch_IR","A_Sch_XK","Sch_I_lag"
01001,"Flensburg, Stadt",90164,44904,45260,13711,7639,6072,5150,2666,2484,4044,2114,1930,1106,552,554,6822,3488,3334,5690,2899,2791,1132,589,543,60031,30832,29199,49581,24787,24794,10450,6045,4405,18161,7918,10243,17138,7465,9673,1023,453,570,15.2,17,13.4,21.5,20.7,22.3,16.6,16.9,16.3,17.4,19.6,15.1,5.6,5.7,5.6,31959,3612,53.4,36.8,4136,976,4250,7821,1146,17.1,14.7,11.3,42,35,529,498,16685,2270,7750,4315,8935,2535,835,805,8235,1645,4725,170,50,170,330,1250,1310,12885,1240,2900,9600,2155,2025,13.6,46.4,25.9,53.6,15.2,5,4.8,49.4,9.9,28.3,1,0.3,1,2,7.5,7.9,77.2,7.4,17.4,57.5,12.9,12.1,3170,230,3110,345,1675,515,535,50,125,30,4.1,6.2,84.4,9.4,45.5,14,14.5,1.4,3.4,0.8,16.2
01002,"Kiel, Stadt",246794,120198,126596,29586,15239,14347,13389,6807,6582,11161,5701,5460,2228,1106,1122,17368,8904,8464,15028,7753,7275,2340,1151,1189,169760,84541,85219,147068,72573,74495,22692,11968,10724,46277,19946,26331,43951,18932,25019,2326,1014,1312,12,12.7,11.3,16.6,16.2,17,13.5,12.9,14,13.4,14.2,12.6,5,5.1,5,90876,7796,53.2,35.4,10009,2827,9945,20495,2892,21.6,14.1,8.6,100,92,1544,1139,31230,6910,7740,5370,23485,5395,890,2380,8265,5990,12850,525,105,615,1030,2285,2710,23650,2580,3685,16775,5915,4850,22.1,24.8,17.2,75.2,17.3,2.8,7.6,26.5,19.2,41.1,1.7,0.3,2,3.3,7.3,8.7,75.7,8.3,11.8,53.7,18.9,15.5,7990,715,6955,780,3660,665,1455,420,295,40,3.4,8.5,82.3,9.2,43.3,7.9,17.2,5,3.5,0.5,5.8
01003,"Lübeck, Stadt",216530,104032,112498,22988,11902,11086,11238,5834,5404,9700,5022,4678,1538,812,726,15999,8158,7841,14338,7348,6990,1661,810,851,138758,68800,69958,121322,59581,61741,17436,9219,8217,50535,21240,29295,48182,20179,28003,2353,1061,1292,10.6,11.4,9.9,13.7,13.9,13.4,10.4,9.9,10.9,12.6,13.4,11.7,4.7,5,4.4,79044,6715,56.6,40.2,7981,1894,8097,16585,1667,8.5,10.1,8.5,74,76,963,808,26140,7505,8910,5630,17230,2550,945,1140,9285,6090,6880,390,85,565,930,1570,1980,19630,2960,2725,12365,5235,5815,28.7,34.1,21.5,65.9,9.8,3.6,4.4,35.5,23.3,26.3,1.5,0.3,2.2,3.6,6,7.6,75.1,11.3,10.4,47.3,20,22.2,5450,740,4375,670,1910,730,685,345,390,25,2.7,12.8,75.6,11.6,33,12.6,11.8,6,6.7,0.4,6.1
01004,"Neumünster, Stadt",80196,39723,40473,10220,5746,4474,4312,2254,2058,3440,1784,1656,872,470,402,6540,3366,3174,5566,2835,2731,974,531,443,51220,26281,24939,43543,21839,21704,7677,4442,3235,18124,7822,10302,17427,7519,9908,697,303,394,12.7,14.5,11.1,20.2,20.9,19.5,14.9,15.8,14,15,16.9,13,3.8,3.9,3.8,29611,2607,58.3,37.8,3282,766,3024,6228,459,3.8,7.4,8.8,21,19,455,221,11575,3035,4340,3795,7235,1320,670,490,4565,2195,2540,180,45,515,195,860,1180,8745,795,1805,6365,1610,1800,26.2,37.5,32.8,62.5,11.4,5.8,4.2,39.4,19,21.9,1.6,0.4,4.4,1.7,7.4,10.2,75.6,6.9,15.6,55,13.9,15.6,2635,815,1395,515,800,480,330,95,180,40,3.4,29.9,51.1,18.9,29.3,17.6,12.1,3.5,6.6,1.5,3.6
01051,"Dithmarschen",133193,65718,67475,7936,4332,3604,6518,3293,3225,5715,2877,2838,803,416,387,10446,5357,5089,9550,4893,4657,896,464,432,82929,41829,41100,77098,38566,38532,5831,3263,2568,33300,15239,18061,32894,15050,17844,406,189,217,6,6.6,5.3,12.3,12.6,12,8.6,8.7,8.5,7,7.8,6.2,1.2,1.2,1.2,48095,2477,57.8,44.2,3874,636,3009,7330,736,18.4,10,5.2,19,22,842,400,9055,1410,3925,3125,5130,1325,560,295,4060,940,2860,105,30,305,430,860,1020,6685,490,1355,5400,1340,960,15.6,43.3,34.5,56.7,14.6,6.2,3.3,44.8,10.4,31.6,1.2,0.3,3.4,4.7,9.5,11.3,73.8,5.4,15,59.6,14.8,10.6,2700,375,1955,365,990,465,205,100,145,30,2,13.9,72.5,13.5,36.7,17.3,7.6,3.7,5.4,1.1,-0.2
01053,"Herzogtum Lauenburg",198019,97165,100854,16267,8614,7653,11468,5838,5630,10206,5163,5043,1262,675,587,16899,8734,8165,15351,7929,7422,1548,805,743,125134,62766,62368,112919,56233,56686,12215,6533,5682,44518,19827,24691,43276,19226,24050,1242,601,641,8.2,8.9,7.6,11,11.6,10.4,9.2,9.2,9.1,9.8,10.4,9.1,2.8,3,2.6,74526,5009,59.6,42.9,4928,1225,6000,9088,1206,17.3,13.3,6.7,28,25,863,609,17505,4620,6655,4945,10850,1860,1235,500,7025,3430,4730,230,40,545,750,1330,1730,13135,1310,2310,9100,2835,3260,26.4,38,28.2,62,10.6,7.1,2.9,40.1,19.6,27,1.3,0.2,3.1,4.3,7.6,9.9,75,7.5,13.2,52,16.2,18.6,4150,715,3305,570,1405,990,435,180,265,125,2.3,15.6,72.1,12.4,30.6,21.6,9.5,3.9,5.8,2.7,10.5
01054,"Nordfriesland",165951,81286,84665,12124,6583,5541,8302,4283,4019,7388,3791,3597,914,492,422,12566,6482,6084,11522,5925,5597,1044,557,487,104652,52412,52240,95233,47187,48046,9419,5225,4194,40431,18109,22322,39684,17800,21884,747,309,438,7.3,8.1,6.5,11,11.5,10.5,8.3,8.6,8,9,10,8,1.8,1.7,2,62101,4304,59.4,47.5,4955,980,4867,8409,801,15.9,9.5,6.9,16,14,698,341,12920,1825,6135,4330,6785,1340,735,550,6435,1180,3390,255,25,390,690,800,1110,10035,975,1780,7125,2130,1880,14.1,47.5,33.5,52.5,10.4,5.7,4.3,49.8,9.1,26.2,2,0.2,3,5.3,6.2,8.6,77.7,7.5,13.8,55.1,16.5,14.6,3350,540,2280,520,1120,640,465,135,130,25,2,16.2,68.3,15.6,33.5,19.2,13.9,4,3.9,0.7,-0.3
01055,"Ostholstein",200539,96689,103850,11690,6061,5629,8831,4413,4418,8009,4028,3981,822,385,437,14600,7441,7159,13489,6850,6639,1111,591,520,121381,59829,61552,112499,55140,57359,8882,4689,4193,55727,25006,30721,54852,24610,30242,875,396,479,5.8,6.3,5.4,9.3,8.7,9.9,7.6,7.9,7.3,7.3,7.8,6.8,1.6,1.6,1.6,72304,4307,59.3,49.2,5673,1040,5420,10081,877,15.9,8.7,6,17,13,916,596,12930,2420,5350,3655,7580,1600,665,675,5625,1530,3640,225,25,430,695,800,1175,9905,1045,1815,6945,2095,2075,18.7,41.4,28.3,58.6,12.4,5.1,5.2,43.5,11.8,28.2,1.7,0.2,3.3,5.4,6.2,9.1,76.6,8.1,14,53.7,16.2,16,3370,585,2120,635,1085,560,520,170,160,50,1.7,17.5,63.5,19,32.5,16.8,15.6,5.1,4.8,1.5,-0.9
01056,"Pinneberg",316103,155123,160980,35159,18424,16735,17982,9210,8772,15632,7998,7634,2350,1212,1138,26740,13639,13101,23874,12171,11703,2866,1468,1398,201216,101369,99847,174152,86912,87240,27064,14457,12607,70165,30905,39260,67286,29618,37668,2879,1287,1592,11.1,11.9,10.4,13.1,13.2,13,10.7,10.8,10.7,13.5,14.3,12.6,4.1,4.2,4.1,126855,11989,63.2,46.5,7853,2500,13853,15098,2224,9.5,14.7,9.5,70,47,1801,1225,39225,11980,14630,9370,24595,3755,2415,825,15710,8705,10650,760,140,650,1175,2450,3355,29760,3665,4415,18480,7225,9110,30.5,37.3,23.9,62.7,9.6,6.2,2.1,40.1,22.2,27.2,1.9,0.4,1.7,3,6.2,8.6,75.9,9.3,11.3,47.1,18.4,23.2,7920,945,6530,910,2750,1975,680,355,610,120,2.7,11.3,77.8,10.8,32.8,23.5,8.1,4.2,7.3,1.4,5.9
01057,"Plön",128686,62487,66199,6302,3383,2919,6422,3290,3132,5915,3012,2903,507,278,229,10234,5130,5104,9537,4775,4762,697,355,342,78050,38726,39324,73376,36137,37239,4674,2589,2085,33980,15341,18639,33556,15180,18376,424,161,263,4.9,5.4,4.4,7.9,8.4,7.3,6.8,6.9,6.7,6,6.7,5.3,1.2,1,1.4,45586,1721,58.2,37.3,2638,464,2106,5294,670,18.9,12.7,3.8,7,8,549,348,6590,1050,1930,1180,4655,1115,410,400,2130,920,2145,70,10,265,335,485,700,4875,530,705,3715,1210,960,15.9,29.3,17.9,70.6,16.9,6.2,6.1,32.3,14,32.5,1.1,0.2,4,5.1,7.4,10.6,74,8,10.7,56.4,18.4,14.6,2485,355,1835,285,855,385,315,105,95,40,1.9,14.3,74,11.5,34.5,15.5,12.7,4.2,3.8,1.6,-0.2
01058,"Rendsburg-Eckernförde",274098,134970,139128,15033,8221,6812,14591,7468,7123,13232,6774,6458,1359,694,665,22920,11805,11115,21222,10914,10308,1698,891,807,171548,86054,85494,160537,79818,80719,11011,6236,4775,65039,29643,35396,64074,29243,34831,965,400,565,5.5,6.1,4.9,9.3,9.3,9.3,7.4,7.5,7.3,6.4,7.2,5.6,1.5,1.3,1.6,98705,3657,57.6,35.9,5286,1015,4707,10852,1634,15.6,15.1,3.7,38,30,1064,784,16740,3065,4875,3265,11865,3395,1010,1055,5205,2065,5855,250,30,995,990,1365,1900,12345,1130,2635,9265,2530,2310,18.3,29.1,19.5,70.9,20.3,6,6.3,31.1,12.3,35,1.5,0.2,5.9,5.9,8.2,11.4,73.7,6.8,15.7,55.3,15.1,13.8,5690,1195,4385,955,2555,955,750,380,245,85,2.4,18.3,67.1,14.6,39.1,14.6,11.5,5.8,3.7,1.3,14.9
01059,"Schleswig-Flensburg",201156,99557,101599,10715,5557,5158,10997,5705,5292,10076,5229,4847,921,476,445,16895,8788,8107,15733,8160,7573,1162,628,534,124834,62735,62099,117199,58619,58580,7635,4116,3519,48430,22329,26101,47433,21992,25441,997,337,660,5.3,5.6,5.1,8.4,8.3,8.4,6.9,7.1,6.6,6.1,6.6,5.7,2.1,1.5,2.5,69543,2707,55.8,36.3,4588,671,3209,8414,866,17,10.3,3.9,21,8,657,572,12290,1170,5270,2740,7020,1875,865,745,5580,925,2980,110,30,520,750,950,1355,8865,1115,1740,6895,1885,1770,9.5,42.9,22.3,57.1,15.3,7,6.1,45.4,7.5,24.2,0.9,0.2,4.2,6.1,7.7,11,72.1,9.1,14.2,56.1,15.3,14.4,3480,590,2145,565,1150,635,430,135,135,30,1.6,17.9,65,17.1,34.8,19.2,13,4.1,4.1,0.9,-5.2
01060,"Segeberg",277175,137054,140121,24614,13364,11250,15460,7875,7585,13750,6962,6788,1710,913,797,23307,12067,11240,21038,10892,10146,2269,1175,1094,177559,89876,87683,158841,79510,79331,18718,10366,8352,60849,27236,33613,58932,26326,32606,1917,910,1007,8.9,9.8,8,11.1,11.6,10.5,9.7,9.7,9.7,10.5,11.5,9.5,3.2,3.3,3,111732,7465,63,40.9,6367,1506,8628,11462,1517,14.5,13.2,6.7,54,39,1224,912,29460,8005,12435,7945,17025,2420,1630,1240,13245,4910,6940,445,85,1060,1195,1795,2265,22290,3115,3445,14460,5060,6500,27.2,42.2,27,57.8,8.2,5.5,4.2,45,16.7,23.6,1.5,0.3,3.6,4.1,6.1,7.7,75.7,10.6,11.7,49.1,17.2,22.1,6960,1065,4485,1120,1905,1325,950,245,450,85,2.4,16,67.3,16.8,28.6,19.9,14.3,3.7,6.8,1.3,-4.2
01061,"Steinburg",131013,64747,66266,9078,4936,4142,6847,3429,3418,6077,3053,3024,770,376,394,10398,5391,5007,9406,4855,4551,992,536,456,83720,42420,41300,76988,38649,38339,6732,3771,2961,30048,13507,16541,29464,13254,16210,584,253,331,6.9,7.6,6.3,11.2,11,11.5,9.5,9.9,9.1,8,8.9,7.2,1.9,1.9,2,50569,2612,60.1,39.1,3402,628,3077,6929,972,16.8,14,5.2,24,20,563,469,9810,2010,3245,2300,6560,1755,725,345,3415,1535,3480,95,15,300,415,800,1015,7290,705,1185,5515,1495,1610,20.5,33.1,23.4,66.9,17.9,7.4,3.5,34.8,15.6,35.5,1,0.2,3.1,4.2,8.2,10.3,74.3,7.2,12.1,56.2,15.2,16.4,3180,455,2485,340,1355,630,270,120,145,25,2.5,13.9,75.9,10.4,41.4,19.2,8.2,3.7,4.4,0.8,3
01062,"Stormarn",244156,119230,124926,18746,9781,8965,13545,6956,6589,12286,6301,5985,1259,655,604,21396,10983,10413,19823,10133,9690,1573,850,723,152246,75943,76303,137814,68306,69508,14432,7637,6795,56969,25348,31621,55487,24709,30778,1482,639,843,7.7,8.2,7.2,9.3,9.4,9.2,7.4,7.7,6.9,9.5,10.1,8.9,2.6,2.5,2.7,94210,6699,61.9,48.4,4031,1141,7996,7995,1414,12.3,17.7,7.1,35,42,1021,700,20810,5190,7590,4910,13220,2425,1895,550,8150,3650,6815,460,50,595,860,1290,1855,15905,1765,2700,10325,3725,4060,24.9,36.5,23.6,63.5,11.7,9.1,2.6,39.2,17.5,32.7,2.2,0.2,2.9,4.1,6.2,8.9,76.4,8.5,13,49.6,17.9,19.5,5200,770,4130,635,1790,1555,440,155,360,110,2.3,13.9,74.6,11.5,32.3,28.1,7.9,2.8,6.5,2,6.4
02000,"Hamburg",1847253,903974,943279,305621,161630,143991,118275,60530,57745,100971,51730,49241,17304,8800,8504,146359,75583,70776,125797,64861,60936,20562,10722,9840,1246260,623276,622984,1006092,494251,511841,240168,129025,111143,336359,144585,191774,308772,131502,177270,27587,13083,14504,16.5,17.9,15.3,14.6,14.5,14.7,14,14.2,13.9,19.3,20.7,17.8,8.2,9,7.6,759663,115191,61.1,48.1,64075,21864,129851,125141,15780,14,12.6,15.2,695,538,11109,8961,323450,106530,100485,54910,222970,17175,22205,5415,109200,80105,84525,11180,3200,5705,6620,15435,20735,253305,33975,29040,136440,74820,83155,32.9,31.1,17,68.9,5.3,6.9,1.7,33.8,24.8,26.1,3.5,1,1.8,2,4.8,6.4,78.3,10.5,9,42.2,23.1,25.7,52730,6415,43075,5670,11850,15850,3855,2575,4705,565,3,11.6,78.1,10.3,21.5,28.7,7,4.7,8.5,1,4.6
03101,"Braunschweig, Stadt",249406,123630,125776,27186,14532,12654,13220,6638,6582,11817,5934,5883,1403,704,699,17453,8949,8504,16041,8132,7909,1412,817,595,166358,85873,80485,144239,73916,70323,22119,11957,10162,52375,22170,30205,50123,21116,29007,2252,1054,1198,10.9,11.8,10.1,10.6,10.6,10.6,8.1,9.1,7,13.3,13.9,12.6,4.3,4.8,4,101735,9848,61.4,47.6,6334,1622,11511,13102,980,11.8,7.5,9.7,74,55,614,568,30950,10565,9095,5515,21855,2780,330,545,9585,8170,9170,1200,700,1060,490,1340,1915,24990,2705,3655,14025,6240,7030,34.1,29.4,17.8,70.6,9,1.1,1.8,31,26.4,29.6,3.9,2.3,3.4,1.6,4.3,6.2,80.7,8.7,11.8,45.3,20.2,22.7,4320,1625,2935,765,1890,275,430,115,330,105,2.1,30.5,55.2,14.4,35.5,5.2,8.1,2.2,6.2,2,23.1
03102,"Salzgitter, Stadt",104291,51831,52460,19140,10102,9038,6777,3516,3261,4916,2570,2346,1861,946,915,9139,4776,4363,7033,3642,3391,2106,1134,972,64399,33015,31384,50716,25703,25013,13683,7312,6371,23976,10524,13452,22486,9814,12672,1490,710,780,18.4,19.5,17.2,27.5,26.9,28.1,23,23.7,22.3,21.2,22.1,20.3,6.2,6.7,5.8,38680,5814,59.2,42.5,4552,1787,6785,8398,1804,20.5,21.5,15,37,21,1061,1002,20785,7370,6390,5395,14395,4460,240,310,6555,5485,7545,275,40,160,215,1790,2225,15010,1760,2235,10705,2970,4875,35.5,30.7,26,69.3,21.5,1.2,1.5,31.5,26.4,36.3,1.3,0.2,0.8,1,8.6,10.7,72.2,8.5,10.8,51.5,14.3,23.5,5085,255,5095,225,3575,215,245,40,50,70,5.3,4.6,91.4,4,64.1,3.9,4.4,0.7,0.9,1.3,9.6
03103,"Wolfsburg, Stadt",124371,61973,62398,19496,10449,9047,7835,4033,3802,6607,3427,3180,1228,606,622,9778,5105,4673,8418,4394,4024,1360,711,649,79119,40760,38359,64025,32628,31397,15094,8132,6962,27639,12075,15564,25825,11075,14750,1814,1000,814,15.7,16.9,14.5,15.7,15,16.4,13.9,13.9,13.9,19.1,20,18.1,6.6,8.3,5.2,52082,7370,65.6,50.7,2737,1040,8357,5350,980,10.4,18.3,14.2,25,22,781,442,20265,8975,9500,2785,10765,1810,325,660,9780,2770,5920,825,415,640,475,1285,1570,15405,2000,2535,8965,3200,5565,44.3,46.9,13.7,53.1,8.9,1.6,3.3,48.3,13.7,29.2,4.1,2,3.2,2.3,6.3,7.7,76,9.9,12.5,44.2,15.8,27.5,3455,505,2860,380,1370,295,450,60,115,140,3,13.5,76.4,10.1,36.6,7.9,12,1.6,3.1,3.7,8.4
03151,"Gifhorn",176523,88295,88228,12041,6437,5604,11096,5675,5421,10252,5228,5024,844,447,397,15343,7844,7499,14262,7265,6997,1081,579,502,114295,58398,55897,104999,53376,51623,9296,5022,4274,35789,16378,19411,34969,15989,18980,820,389,431,6.8,7.3,6.4,7.6,7.9,7.3,7,7.4,6.7,8.1,8.6,7.6,2.3,2.4,2.2,72075,3897,62.9,43.6,3646,802,4402,6639,598,14.7,9,5.4,17,9,490,333,12955,4705,4720,2570,8235,945,290,470,4995,2560,2740,290,75,690,530,810,1155,9940,1050,1500,5835,2480,3140,36.3,36.4,19.8,63.6,7.3,2.2,3.6,38.6,19.8,21.2,2.2,0.6,5.3,4.1,6.3,8.9,76.7,8.1,11.6,45,19.1,24.2,2820,815,1650,515,695,215,360,85,140,85,1.7,27.4,55.5,17.3,23.4,7.2,12.1,2.9,4.7,2.9,5.5
03153,"Goslar",136292,67599,68693,13622,7628,5994,5916,3045,2871,5023,2593,2430,893,452,441,9043,4661,4382,7966,4101,3865,1077,560,517,83945,43454,40491,73484,37414,36070,10461,6040,4421,37388,16439,20949,36197,15863,20334,1191,576,615,10,11.3,8.7,15.1,14.8,15.4,11.9,12,11.8,12.5,13.9,10.9,3.2,3.5,2.9,48279,3568,57.1,35.8,3986,788,4397,7603,774,14.6,10.2,7.4,28,27,519,419,13830,3855,4140,2525,9690,1530,345,310,4350,2450,5170,325,90,175,380,850,1055,10675,1245,2365,6980,1835,2650,27.9,29.9,18.3,70.1,11.1,2.5,2.2,31.5,17.7,37.4,2.3,0.7,1.3,2.7,6.1,7.6,77.2,9,17.1,50.5,13.3,19.2,3165,260,2590,360,1175,335,295,45,140,180,2.4,8.1,80.7,11.2,36.6,10.4,9.2,1.4,4.4,5.6,1.4
03154,"Helmstedt",91297,45273,46024,6208,3382,2826,5020,2569,2451,4570,2345,2225,450,224,226,7049,3611,3438,6450,3284,3166,599,327,272,57714,29522,28192,53038,26947,26091,4676,2575,2101,21514,9571,11943,21031,9315,11716,483,256,227,6.8,7.5,6.1,9,8.7,9.2,8.5,9.1,7.9,8.1,8.7,7.5,2.2,2.7,1.9,37092,2086,63.9,44.9,2787,472,2371,4513,314,15.8,7,5.6,6,4,284,165,6760,2190,2950,2065,3815,450,160,370,3030,1395,1690,125,55,205,280,480,610,5120,550,830,3225,1050,1660,32.4,43.6,30.5,56.4,6.7,2.4,5.5,44.8,20.6,25,1.8,0.8,3,4.1,7.1,9,75.7,8.1,12.3,47.7,15.5,24.6,1680,245,1110,280,360,155,320,50,50,80,1.8,15,67.9,17.1,22,9.5,19.6,3.1,3.1,4.9,-2.7
03155,"Northeim",132285,65290,66995,8549,4467,4082,6539,3333,3206,5777,2919,2858,762,414,348,9822,5011,4811,8912,4562,4350,910,449,461,82037,41713,40324,75905,38470,37435,6132,3243,2889,33887,15233,18654,33142,14872,18270,745,361,384,6.5,6.8,6.1,11.7,12.4,10.9,9.3,9,9.6,7.5,7.8,7.2,2.2,2.4,2.1,50712,2516,61.3,42,3542,658,2924,6911,631,16.5,9.1,5,14,11,447,220,9310,3215,3185,1975,6125,1060,320,475,3365,1550,2115,145,35,280,305,795,985,6760,770,1060,4590,1520,2140,34.5,34.2,21.2,65.8,11.4,3.4,5.1,36.1,16.6,22.7,1.6,0.4,3,3.3,8.5,10.6,72.6,8.3,11.4,49.3,16.3,23,2880,355,2140,370,840,295,330,100,85,175,2.2,12.4,74.7,12.9,29.3,10.3,11.5,3.5,3,6.1,-0.5
03157,"Peine",134801,66753,68048,10546,5547,4999,8043,4080,3963,7269,3679,3590,774,401,373,11584,5951,5633,10444,5363,5081,1140,588,552,86177,43808,42369,78268,39584,38684,7909,4224,3685,28997,12914,16083,28274,12580,15694,723,334,389,7.8,8.3,7.3,9.6,9.8,9.4,9.8,9.9,9.8,9.2,9.6,8.7,2.5,2.6,2.4,53711,3519,62.5,45.6,3086,865,4073,5811,766,9,13.2,6.6,23,15,595,460,11985,3970,4075,3270,7910,1710,215,675,4275,2825,4045,140,20,335,330,830,1295,9060,800,1405,5750,2085,2745,33.1,34,27.3,66,14.3,1.8,5.6,35.7,23.6,33.8,1.2,0.2,2.8,2.8,6.9,10.8,75.6,6.7,11.7,48,17.4,22.9,3110,380,2665,245,1315,210,545,25,65,95,2.4,11.5,80.9,7.4,39.9,6.4,16.5,0.8,2,2.9,5.9
03158,"Wolfenbüttel",119622,59212,60410,7260,3874,3386,6177,3160,3017,5641,2894,2747,536,266,270,9047,4639,4408,8335,4279,4056,712,360,352,75790,38542,37248,70327,35553,34774,5463,2989,2474,28608,12871,15737,28059,12612,15447,549,259,290,6.1,6.5,5.6,8.7,8.4,8.9,7.9,7.8,8,7.2,7.8,6.6,1.9,2,1.8,46454,2339,60.8,43,2579,526,2815,4898,521,15.4,10.6,5,22,12,524,326,7860,2250,2430,1530,5430,1065,255,280,2580,1550,2565,140,45,275,405,510,775,5945,630,800,3965,1440,1655,28.6,30.9,19.5,69.1,13.5,3.2,3.6,32.8,19.7,32.6,1.8,0.6,3.5,5.2,6.5,9.9,75.6,8,10.2,50.4,18.3,21.1,2265,305,1590,385,815,220,210,55,40,90,1.9,13.4,69.7,16.9,35.7,9.6,9.2,2.4,1.8,3.9,0.7
03159,"Göttingen",326041,160023,166018,28372,14206,14166,16654,8562,8092,14809,7604,7205,1845,958,887,24164,12526,11638,21941,11400,10541,2223,1126,1097,210905,105680,105225,188843,94647,94196,22062,11033,11029,74318,33255,41063,72076,32166,39910,2242,1089,1153,8.7,8.9,8.5,11.1,11.2,11,9.2,9,9.4,10.5,10.4,10.5,3,3.3,2.8,120481,9544,56.5,44,8660,1850,11278,16852,1414,13.5,8.4,7.9,49,36,1454,729,32265,10140,9795,5500,22470,2485,965,880,10420,5825,10020,1115,285,1150,1290,1975,2655,24925,2705,4815,15440,5555,6450,31.4,30.4,17,69.6,7.7,3,2.7,32.3,18.1,31.1,3.5,0.9,3.6,4,6.1,8.2,77.3,8.4,14.9,47.9,17.2,20,6480,1055,4295,1025,1490,810,565,265,215,415,2,16.5,67.3,16.1,23.4,12.7,8.9,4.2,3.4,6.5,-1.5
03241,"Region Hannover",1157115,566626,590489,162288,84024,78264,66727,34197,32530,56939,29217,27722,9788,4980,4808,93265,47900,45365,80338,41273,39065,12927,6627,6300,751526,378292,373234,627859,313170,314689,123667,65122,58545,245597,106237,139360,229691,98942,130749,15906,7295,8611,14,14.8,13.3,14.7,14.6,14.8,13.9,13.8,13.9,16.5,17.2,15.7,6.5,6.9,6.2,447609,56192,59.3,46,38799,14485,66383,76845,10363,6.7,13.5,12.6,377,240,5890,5125,185675,62320,62930,38160,122745,15485,4110,11850,66405,48095,52490,3485,1075,4005,3095,9445,14320,142380,19535,15600,85785,38315,45975,33.6,33.9,20.6,66.1,8.3,2.2,6.4,35.8,25.9,28.3,1.9,0.6,2.2,1.7,5.1,7.7,76.7,10.5,8.4,46.2,20.6,24.8,38535,3925,34420,2685,11575,3170,8940,1820,1960,725,3.5,9.6,83.9,6.5,28.2,7.7,21.8,4.4,4.8,1.8,6.5
03251,"Diepholz",217089,107876,109213,18235,9682,8553,11925,6120,5805,10399,5344,5055,1526,776,750,17857,9239,8618,15790,8169,7621,2067,1070,997,138216,70312,67904,124513,62915,61598,13703,7397,6306,49091,22205,26886,48152,21766,26386,939,439,500,8.4,9,7.8,12.8,12.7,12.9,11.6,11.6,11.6,9.9,10.5,9.3,1.9,2,1.9,88475,6782,63.8,50.4,4758,1360,8080,8744,1172,14.6,13.4,7.7,29,23,773,589,19395,3820,9000,7440,10395,1815,675,955,9255,3090,4880,160,25,830,745,1405,2160,14750,1075,2495,10670,3280,2950,19.7,46.4,38.4,53.6,9.4,3.5,4.9,47.7,15.9,25.2,0.8,0.1,4.3,3.8,7.2,11.1,76.1,5.5,12.9,55,16.9,15.2,5205,935,3675,660,1500,620,735,185,220,105,2.4,17.7,69.7,12.5,28.5,11.8,13.9,3.5,4.2,2,1.2
