"Monat";"Accommodation and food services, total";"Accommodation";"Food and beverage service activities"
"2020-03";-44.9;-49.7;-42.2
"2020-04";-74.7;-86.7;-67.9
"2020-05";-63.2;-78.9;-54
"2020-06";-41.2;-51.5;-35
"2020-07";-24.7;-28.8;-22.2
"2020-08";-20.5;-20;-20.9
"2020-09";-22.3;-26.2;-19.9
"2020-10";-30.2;-36.4;-26.4
"2020-11";-67.2;-80.7;-59.6
"2020-12";-71.1;-82.9;-65.4
"2021-01";-69.9;-84;-62.9
